FileSize,EstimatedSpeed
1M,0.3145098980203959
1M,0.3281928012519562
1M,0.3122620607504467
1M,0.3097713441654358
1M,0.32373448595245446
10M,3.1640796620398306
10M,2.9388340807174886
10M,2.9772174900624644
10M,3.1469867947178876
10M,3.0384700086931327
100M,24.977989518818482
100M,23.416167932112554
100M,23.035500878734627
100M,25.846093172294797
100M,24.413876600698487
1G,84.1754330511132
1G,80.26175990432053
1G,82.12802692366529
1G,84.2745329252021
1G,80.05829287205488
10G,127.4092938593889
10G,122.9395601048787
10G,123.49099173078471
10G,119.62497621408438
10G,122.02166280285469
100G,100.16164267277607
100G,123.11294074481746
100G,135.04199054981845
100G,116.26106169489616
100G,126.88159290048509
