FileSize,EstimatedSpeed
1M,0.2827112429226207
1M,0.1819496789866389
1M,0.2538310336480271
1M,0.32737308773025287
1M,0.21687197518097207
10M,2.435150952159777
10M,2.9789090909090907
10M,2.9102858728837075
10M,2.9890992018244016
10M,2.7328016679697678
100M,25.103567153459423
100M,18.094495254529768
100M,27.053044375644998
100M,24.972040962133843
100M,29.07864669994454
1G,39.86862557552354
1G,173.46394571890144
1G,57.35800341880342
1G,215.09251282051284
1G,215.78412861736334
10G,366.42726819779546
10G,375.7495184770437
10G,286.00320272753913
10G,259.0200762290732
10G,300.07037531788836
100G,221.94286470218609
100G,248.1429462158346
100G,212.27325860466956
100G,280.81666265652626
100G,278.105893170263
