FileSize,ProfileSpeed,GdriveEstimate
1M,1.23361882353,1.0
1M,1.69672491909,1.0
1M,1.64353605016,1.0
1M,1.74182059801,1.0
1M,1.53750146628,1.0
10M,11.9021112372,10.5
10M,12.6182430806,10.5
10M,13.7428047182,10.5
10M,13.2395959596,10.5
10M,14.6041225627,10.5
100M,49.2289201878,104.9
100M,57.4247535597,104.9
100M,52.507561342,104.9
100M,49.6015137181,104.9
100M,57.8046306505,104.9
1G,171.908713417,191.6
1G,177.801262461,199.5
1G,175.735159411,236.2
1G,218.373362619,253.0
1G,202.631029251,229.8
10G,244.276509237,248.3
10G,230.604747219,233.7
10G,262.259250647,266.2
10G,252.229697909,257.0
10G,221.034588497,224.0
100G,233.166159759,233.5
100G,242.379644244,242.8
100G,251.679868739,252.1
100G,229.048797418,229.4
100G,233.516557565,233.9
