FileSize,ProfileSpeed,GdriveEstimate
1M,0.977237651444548,1.0
1M,1.354749354005168,1.0
1M,1.3962396804260986,1.0
1M,1.109604232804233,1.0
1M,1.3688981723237599,1.0
10M,11.250815450643776,10.5
10M,12.206938300349243,10.5
10M,12.235425904317387,10.5
10M,10.454396809571287,10.5
10M,12.771936662606578,10.5
100M,50.509441233140656,104.9
100M,51.47648502700049,104.9
100M,54.07818463125322,104.9
100M,54.95681341719077,104.9
100M,51.552409046214365,104.9
1G,198.21706184234816,240.3
1G,189.84119943422914,220.0
1G,210.53761254901963,243.4
1G,171.36001021385252,201.8
1G,198.14390551762318,235.1
10G,224.6979918804671,228.9
10G,204.24991896518927,206.9
10G,212.10971988463515,215.6
10G,292.75617525969955,299.6
10G,225.50495096083168,229.1
100G,208.29658633486392,208.9
100G,254.8119358497909,255.4
100G,227.94452950192547,228.6
100G,252.03373087873888,252.7
100G,241.34724463075557,241.9
