FileSize,ProfileSpeed,GdriveEstimate
1M,0.796185269552,0.8035
1M,0.993910900474,1.0
1M,0.807217859892,0.817
1M,0.693502645503,0.699
1M,0.80350651341,0.819
10M,2.74280931206,2.8
10M,4.26077204388,4.3
10M,4.35093775934,4.4
10M,4.42810810811,4.5
10M,4.81218907756,4.9
100M,10.6131174089,10.6
100M,14.8945454545,14.9
100M,13.2162339299,13.2
100M,12.8313264807,12.9
100M,14.2314875136,14.3
1G,15.7898565336,15.8
1G,15.3751907899,15.4
1G,15.5756969987,15.6
1G,16.0228884545,16.0
1G,14.2211809332,14.2
10G,17.5005349867,17.5
10G,15.8273756206,15.8
10G,14.276564238,14.3
10G,15.8155793517,15.8
10G,15.443300886,15.4
100G,13.7780172131,13.8
100G,18.1113244586,18.1
100G,16.9982786134,17.0
100G,18.5720830451,18.6
100G,20.1667864444,20.2
