FileSize,ProfiledSpeed
1M,0.705636608345
1M,0.814744366744
1M,0.809711196911
1M,0.867308519438
1M,0.714775732788
10M,3.62452817145
10M,6.89399079553
10M,7.89590361446
10M,7.48448251249
10M,5.96120523024
100M,32.6964764577
100M,40.5325086973
100M,43.0803615448
100M,25.8079251784
100M,42.1622838762
1G,197.888283081
1G,174.592166504
1G,190.616336588
1G,176.951520105
1G,194.518446377
10G,146.507910328
10G,199.840279918
10G,125.306844986
10G,159.491083879
10G,81.2437538494
100G,126.928989443
100G,129.18329357
100G,160.04999769
100G,144.960183606
100G,126.956303525
