FileSize,ProfiledSpeed
1M,0.556273740053
1M,0.480777624943
1M,0.662397978522
1M,0.412662731208
1M,0.68045165477
10M,4.00525592055
10M,4.81218907756
10M,4.12014145383
10M,3.54848054146
10M,4.44688719254
100M,15.6527242872
100M,14.2276255088
100M,15.3233377174
100M,13.6231778615
100M,15.2875929436
1G,19.987003909
1G,17.9979856183
1G,19.867919177
1G,19.1647210095
1G,18.1626885889
10G,20.8167361823
10G,18.606012608
10G,20.554685432
10G,20.3283577591
10G,20.9560076428
100G,14.2071023483
100G,37.1453803941
100G,9.92776896946
100G,36.8788405033
100G,31.0611083035
