FileSize,ProfiledSpeed
1M,0.507293662313
1M,0.708976335362
1M,0.636658166363
1M,0.648470006184
1M,0.549568134172
10M,4.94378123527
10M,5.21161033797
10M,5.07293662313
10M,3.25543619994
10M,5.08277266117
100M,23.0355008787
100M,24.7948924096
100M,24.3571660859
100M,23.3379924327
100M,27.7842077371
1G,44.7280606515
1G,53.5158405104
1G,42.2999457926
1G,46.8330712261
1G,60.1839484334
10G,52.6354352046
10G,60.2312124306
10G,46.6870659646
10G,59.4136786131
10G,57.6802982477
100G,53.3751667257
100G,56.4046977394
100G,57.5509158102
100G,55.5283272387
100G,53.415420372
