FileSize,ProfiledSpeed,cyberduckEst
1M,0.0153047742764,1.0843
1M,0.0214428334799,0.8129
1M,0.106779633401,1.21926666667
1M,0.0611771295216,1.28676666667
1M,0.0823704634721,0.466066666667
10M,0.738902121063,3.00894285714
10M,0.7050198346,3.5321125
10M,0.782869941765,3.25387777778
10M,0.700591968998,3.88312857143
10M,0.821446141794,3.9768625
100M,6.01454628886,9.45239615385
100M,12.8691212568,13.98155
100M,13.0128567883,14.3508777778
100M,12.9389930898,14.6847
100M,12.6563186482,14.2933
1G,37.5854740969,43.5315928571
1G,39.0295454182,44.3045038647
1G,39.2808422901,44.4331768473
1G,38.1083838728,42.0652333333
1G,38.2986811243,42.5088487923
10G,33.5303320738,52.4200122324
10G,33.0342458597,51.1318464215
10G,35.8351129712,51.9713818918
10G,34.4608603165,47.9538243269
10G,37.0069490532,54.3617702772
100G,220.964084497,211.645764986
100G,226.648785955,225.302516516
100G,252.692700744,246.839498171
100G,265.407160301,270.883873158
100G,251.674559522,240.912129316
