FileSize,ProfiledSpeed,cyberduckEst
1M,0.185195337337,3.2
1M,0.240388812471,3.3
1M,0.235794018439,2.1
1M,0.238366901569,3.2
1M,0.240443934877,3.4
10M,0.827409453168,11.85
10M,1.07933710757,6.3
10M,1.63456897896,12.4666666667
10M,0.851946701332,13.0
10M,2.10388443018,10.8333333333
100M,10.1429289998,35.0842105263
100M,9.68124826886,38.0777777778
100M,13.0843024707,38.0235294118
100M,12.9758198243,34.3454545455
100M,12.8187775061,38.4055555556
1G,40.2467042993,47.4175879397
1G,43.1412199767,49.5712820513
1G,21.9368260363,26.0787878788
1G,33.374003792,38.7957692308
1G,47.2889026689,55.8894444444
10G,59.4038175853,60.0838330394
10G,59.6225122994,60.6989380531
10G,61.6430516629,62.5231053604
10G,63.9284248631,63.5143034826
10G,59.6811694541,61.0728823529
100G,34.7990753017,34.0293880542
100G,35.9806282508,35.7166291305
100G,37.0926026337,36.3150302085
100G,37.3905115305,35.3793783486
100G,34.8847737484,35.9835689416
