FileSize,ProfileSpeed,GdriveEstimate
1M,0.8694660033167496,0.8894
1M,0.9901567516525025,1.0
1M,0.977237651444548,0.9987999999999999
1M,0.6305327720986169,0.6399
1M,0.9141900610287707,0.9342
10M,5.4471480519480515,5.9
10M,4.7403978300180825,4.8
10M,5.303874557410217,5.4
10M,5.366305015353122,5.5
10M,5.539228737453778,5.7
100M,15.697245508982036,15.9
100M,14.883974449964514,14.9
100M,15.254233343031714,15.3
100M,15.059256067786873,15.1
100M,15.100460829493088,15.2
1G,16.068927792161148,16.1
1G,17.798694183367317,17.8
1G,19.827562580788122,19.8
1G,19.10810641894898,19.1
1G,20.146761933353346,20.2
10G,19.128496804915457,19.1
10G,20.263408845576077,20.3
10G,16.089322063105087,16.1
10G,16.369088583550447,16.4
10G,19.79882624104321,19.8
100G,19.546467955927227,19.5
